id,movieid,imdbid,kewords,synopsis
4022,95,115759,major  captain  desert  park-ranger  utah  stealth-bomber  train  us-air-force  soldier  terrorist  canyon  combat  mine  weapon  blackmail  nuclear-weapons  music-score-features-piano  title-at-the-end  howie-scream  hit-by-a-car  shot-in-the-throat  199,Major Vic Deak Deakins John Travolta and Captain Riley Hale Christian Slater are pilots in the United States Air Force After a sparring match between the two  the pilots are assigned to a top secret exercise on a B-3 Stealth Bomber a fictional advanced ve
4716,193,114436,lap-dancing  stripper  cult-film  striptease  lap-dance  lesbian  showgirl  breasts  critically-bashed  vaginal-injury  lesbianism  female-full-frontal-nudity  rape  erotica  hotel  stage  ambition  dance  female-removes-her-clothes  sex-scene  female-rea,A young woman is hitchiking from what appears to be a truck stop snow capped mountains are seen in the distance which sets it either in Colorado or an upstate US state A pickup truck pulls over for her  driven by a man who looks like a shady character The
5327,1081,84865,singer  nightclub  cabaret  1930s  starving  opera  moll  audition  year-1934  vomiting  two-word-title  starvation  breaking-and-entering  foreign-language-adaptation  woman-in-man's-clothes  woman-dressed-as-man  fired-from-the-job  bathtub  reference-t,In Paris 1934  Victoria Grant is a talented but poor soprano singer looking for work She is in extremely dire straits she offers to sleep with her hotel manager for her rent and her next meal  and later when she auditions at the Chez Lui nightclub she is
5544,32,114746,underground  madness  plague  virus  monkey  future  1990s  volunteer  animal  mental-institution  mental-illness  past  kidnapping  epidemic  time-travel  murder  disease  psychiatrist  animal-rights  slow-motion-action-scene  long-barreled-revolver  new,The time is the indeterminate future A virus  deliberately released in 1996 in multiple locations around the world  has killed off five billion people Survivors have established an elaborate underground civilization because the earth's surface is consider
5625,16,112641,casino  card-cheat  cash  gambling-syndicate  car-bomb  mafia  boyhood-friend  italian-mafia  gambling  gangster  murder  extreme-violence  compulsive-gambler  safe-deposit-box-key  corrupt-politician  hypocrisy  snorting-cocaine  criminal  crooked-gambli,Martin Scorsese's 1995 film Casino follows the life of Sam Ace Rothstein Robert De Niro as he runs the mob-owned Tangiers casino The movie also deals with his relationship with his friend Nicky Santoro Joe Pesci and the love of his life Ginger Sharon Ston
5848,327,114614,21st-century  2030s  desert  tank  jet  wasteland  kangaroo  cult-film  superhero  cartoon-violence  goofball  slapstick  incest-joke  spoof  bechdel-test-passed  title-directed-by-female  near-future  shootout  female-warrior  female-fighter  violence  c,Unlike the strip's non-linear  stream of consciousness  absurdist cut-and-paste sort of structure  the film has a standard timeline The plot revolves around the fact that Tank Girl and her rebel group are attacked by Water Power  a powerful force that con
6449,332,114852,birth  baby  alien  small-town  outer-space  whiskey  child  reference-to-arthur-conan-doyle  weird-pregnancy  evil-children  man-wearing-briefs  mutation  what-happened-to-epilogue  rescue  deception  exploding-building  self-sacrifice  alarm-clock  dyna,The quiet coastal town of Midwich  California is invaded by an unseen force which leaves ten women mysteriously pregnant Nine months later  the babies are born simultaneously on one night  except for one which is stillborn At first  they all appear to be
6592,100,115907,mayor  drug-dealer  new-york-city  scandal  probation  mafia  greek  political-cover-up  political-conspiracy  political-thriller  political-corruption  government-corruption  conspiracy  politics  manhattan-new-york-city  harlem-manhattan-new-york-city,This complex 1996 drama directed by Harold Becker Sea of Love attempts to explore big-city corruption and the flexibility of what's right and wrong in the political arena John Cusack plays the senior aide to mayor John Pappas Al Pacino  a popular and seas
7100,432,109439,map  treasure-map  treasure  friend  40th-birthday  second-part  radio-station  journey  gold  birthday  railway-station  sitting  lifting-male-in-air  slow-motion  lifting-someone-into-the-air  lifting-a-man-into-the-air  lifting-an-adult-into-the-air  h,Mitch awakens from a dream in which the old trailboss Curly from the first film  rises from the grave and drags him down However  Mitch soon forgets the dream when the familiar voice of his Mom comes through the speakerphone  giving her recitation about t
7274,322,114594,assistant  boss  movie-producer  torture  office  abuse  humiliation  cruelty  script  hostage  revenge  death  sexual-harassment  office-romance  reserved-parking-place  new-job  christmas-gift  murder-of-wife  sympathy  rape  unrealistic-demand  jealous,This synopsis is too short and may not include the required detailed description of the entire plot We normally require that synopses be at least 10 lines longIf you have seen this title  please help us by improving and expanding this synopsisGuy  an ambi
8726,515,107943,butler  housekeeper  servant  manor  service  congressman  work  american  1950s  loyalty  employer  britain  1930s  nazi  pre-war  post-war  broken-bottle  bicycle  kiss  waiter  setting-the-table  horse  high-society  class-system  social-class  record-,In 1950s England  Mr Stevens Anthony Hopkins  the butler of Darlington Hall  receives a letter from Miss Kenton Emma Thompson  who worked with him as housekeeper during the years prior to the Second World War Twenty years later  Lord Darlington James Fox
8999,288,110632,controversy  media  mass-media  love  satire  serial-killer  watching-television  vomiting  media-exploitation  pop-culture  television  murder  abusive-father  interview  shootout  murderer  road-trip  violence  prison  revenge  reference-to-charles-whit,IntroductionMickey Knox and his wife Mallory go to a roadside caf in the New Mexico desert They appear to be normal customers  with Mickey eating key lime pie and Mallory dancing to rock 'n' roll on the jukebox A group of rednecks arrive and one begins da
9712,919,32138,wizard-of-oz  evil-witch  witch  wizard  tornado  quest  tin-man  kansas  lion  scarecrow  ruby-slippers  cyclone  heart  flying-monkeys  flying-witch  gone-in-puff-of-smoke  talking-tree  anthropomorphic-tree  pigtails  anthropomorphic-scarecrow  charact,Dorothy Gale Judy Garland is an orphaned teenager who lives with her Auntie Em Clara Blandick and Uncle Henry Charley Grapewin on a Kansas farm in the early 1900s She daydreams about going over the rainbow after Miss Gulch Margaret Hamilton  a nasty neigh
10258,15,112760,treasure  pirate  latin  treasure-map  pirate-ship  betrayal  tattoo-on-head  1600s  father-daughter-relationship  bar-shootout  adventuress  adventurer  heroine  british-navy  uncle-niece-relationship  bar-brawl  villain-turns-good  sea-battle  sword-fig,Female pirate Morgan Adams Geena Davis and her learned slave  William Shaw Matthew Modine  are on a quest to recover the three portions of a treasure map The treasure is hidden on a mysterious Cutthroat Island Unfortunately  the final portion is held by h
10551,1049,116409,lion  bridge  hunter  engineer  railway  africa  tent  british-army  kenya  train  railway-station  killing-an-animal  evacuation  offscreen-killing  death  drunkenness  mercenary  race-against-time  superstition  ambush  shot-in-the-head  massacre  corps,Sir Robert Beaumont  the primary financier of the railroad project  is furious because his railroad is not being completed on schedule He has sought out the expertise of Patterson  a military engineer  to get the project back on track Beaumont tells Patte
10640,165,112864,bomb  terrorist  new-york-city  police  detective  simon-says  explosion  subway-station  subway  gold  beating  hero  dump-truck  revenge  quebec  reference-to-donald-trump  box-office-hit  man-with-glasses  police-shootout  machismo  psychological-tortu,When a bomb explodes at the Bonwit Teller department store  a man calling himself Simon phones Major Case Unit Inspector Walter Cobb at the police station and claims responsibility for the bomb He orders suspended police officer Lt John McClane to walk th
10704,690,111613,title-directed-by-female  sex  politics  deutsche-demokratische-republik  ddr  professor  physicist  murder  death  1980s  1960s  secret-police  rock-music  growing-up  communist-agent  communism  coming-of-age  violence  father-son-relationship  berlin-w,In August 1961 the world was already divided  but no one ever dreamt of the long border reaching its full height Moscow had the copyright for the concept and execution  and German firms delivered the barbed wire An unjust regime has committed a new injust
10859,248,110066,suburb  debt  houseguest  loan-shark  dentist  cartoon-on-tv  yogurt-shop  thug  teenage-girl  tattoo-artist  speech  sister-sister-relationship  school-assembly  precociousness  oral-surgeon  mother-son-relationship  mother-daughter-relationship  lawyer,Kevin Franklin Sinbad is an inner-city Pittsburgh native raised in an orphanage  he has delusions of grandeur and talks about one day getting rich and driving a Porsche 25 years later  Kevin drives a rusted MG Midget and all his ambitions revolve around a
11660,480,107290,dinosaur  theme-park  survival  jurassic-park  tyrannosaurus-rex  triceratops  rescue  betrayal  man-on-a-toilet  live-dinosaur  1990s  chaos-theory  secret-island  famous-score  paleontology  sabotage  biology  science  island  tour  embryo  scientist  c,The story begins on Isla Nublar  a small island 120 miles off the coast of Costa Rica A large group of construction workers and animal handlers offload a large container  the creature within unseen During the process  the animal attempts to escape  an act
11943,366,111686,freddy-krueger  nightmare  elm-street  earthquake  sleep  serial-child-killer  serial-killer  movie-set  character's-point-of-view-camera-shot  playground  grave-side-ceremony  lifting-someone-into-the-air  famous-director-as-himself  alternate-reality  s,Just as the first Nightmare film opened with the creation of Freddy's infamous glove  New Nightmare opens with the creation of an updated  more sinister and sleeker looking glove As the maker of the claws appears to chop off his own hand in preparation fo
11990,518,111001,health  therapy  eccentric  sex  20th-century  cure  cereal  masturbation  cornflakes  patient  diet  adopted-son  enema  invention  19th-century  hysteria  mysterious-death  friendship  friend  therapist  sexuality  sexual-liberation  extortion  sexual-a,This synopsis is too short and may not include the required detailed description of the entire plot We normally require that synopses be at least 10 lines longIf you have seen this title  please help us by improving and expanding this synopsisMatthew Brod
12079,111,75314,loner  neo-noir  vigilante  night-shift  taxi-driver  alienation  obsession  urban-decay  drug-dealer  watching-a-porno-movie  misanthrope  brothel  shot-to-death  night-life  damsel-in-distress  underage-sex  sleeve-gun  child-prostitution  shootout  mur,Travis Bickle Robert De Niro goes to a New York City taxi depot where he applies for a job as a driver to the tough-talking personnel officer Joe Spinell Travis claims that he is an honorably discharged Marine it is implied that he is a Vietnam Veteran Af
12442,25,113627,alcoholic  prostitute  sex  bar  love  falling-in-love-with-a-prostitute  loneliness  place-name-in-title  city-in-title  underwater  fired-from-the-job  self-destruction  prostitution  anal-rape  casino  music-score-composed-by-director  pimp  fire  las-,Ben Sanderson Cage is a Hollywood agent who has lost everything because of his alcoholism He loses his job  his family  and decides to commit suicide by alcohol consumption in Las Vegas After arriving  he meets Sera Shue  a prostitute  and a deep friendsh
12872,154,61395,brothel  prostitute  marriage  sex  dream  surgeon  bedroom  daydream  dare  hesitation  prudishness  modesty  white-bra-and-panties  woman-in-bra-and-panties  prostitute-wife  gun-shot  pimp  pimp-cane  sword-cane  brothel-madam  1960s  ambiguous-ending,Sverine Serizy Catherine Deneuve  is a 23 year old beautiful  newlywed housewife  married to the respectable and uninteresting surgeon  Dr Pierre Serizy Jean Sorel Despite their love for each other  Sverine is frigid and sleeps in a separate bed  rejectin
13314,1153,40723,prison  police  set-up  money  love  mob-boss  gunfight  violence  san-francisco-california  prisoner  prison-escape  policeman  mobster  hostage  gun-moll  flambe  fire-thrown-in-face  defense-attorney  darkness  theremin,In prison and planning a break  Joe Sullivan Dennis O'Keefe gets visited by Ann Martin Marsha Hunt  the social worker who writes to him while he's inside and Joe has developed an attraction to Ann as she is the only women who has come to see him Joe break
13485,382,111742,wolf  werewolf  blood  publishing-house  publisher  amulet  vermont  wolf-bite  police  transformation  party  co-worker  editor  sexy-woman  cult-film  woman-wearing-only-a-man's-shirt  lycanthrope  1990s  horse  fatal-attraction  wolf-hit-by-a-car  olde,Will Randall Jack Nicholson is bitten by a wolf while driving home in Vermont Afterwards  he is demoted from editor in chief of a publishing house when it is taken over by tycoon Raymond Alden Christopher Plummer  who replaces him with Will's proteg Stewa
13969,294,114113,political-prisoner  love  immigration  title-directed-by-female  reference-to-john-wayne  dysfunctional-family  usa  survivor  reunion  prison  miami-florida  immigrant  affection  1980s  scheme  prostitute  mistaken-identity  hispanic  cuba  based-on-nov,Cuban boat-lift refugees Carter era land in Miami  with different goals The story focuses on relationships that develop under hard circumstances  with long lasting effects Drama is real  story is clean and not predictable Character development is adequate
14454,208,114898,sea  smoker  future  water  sail  mutant  sailing  trading  under-sea  man-with-gills  box-office-hit  steampunk  female-star-appears-nude  troubled-production  food-shortage  diving-bell  hot-air-balloon  drinking-own-urine  exploding-ship  urination  po,The movie Waterworld is a post-apocalyptic story about a mutant named Mariner Kevin Costner As the polar ice-caps in the world have all melted  very little land remains  causing some humans to mutate into growing webbed feet and gills  to adapt to their n
14811,328,114608,loud-sex  key  blood-of-christ  demon  blood  child-knocked-unconscious  dead-boy  child-kicked  child-bombed  child-killed  boy-killed  siege  white-panties  title-appears-in-writing  movie-premiere  hand-rises-from-the-earth  bus  exploding-building  pe,The Crypt keeper  while directing his new theatrical destruction  introduces this horror flick It starts with Brayker William Sadler a Demon Knight  driving down a highway near a small town He is being chased by a demon named the collector  Billy Zane who
16003,96,113403,christmas  actor  play  cross-dressing  shakespearean  shakespeare's-hamlet  actress  audition  reference-to-william-shakespeare  theater  independent-film,This synopsis is too short and may not include the required detailed description of the entire plot We normally require that synopses be at least 10 lines longIf you have seen this title  please help us by improving and expanding this synopsisAn unemploye
16298,151,114287,sexual-cruelty  peasant-revolt  sex  hand-rubbing-vagina  fingering-vagina  raped-by-finger  nude-swimming  male-full-frontal-nudity  pregnant-from-rape  sword-fight  highlands  scotland  18th-century  eighteenth-century  violent-man  sadistic-cruelty  so,The story is set in early 18th Century Scotland A group of Scots highlanders are tracking another clan who have stolen cattle from a lord The protection of the lord's property  including his livestock  is managed by Robert Roy MacGregor  the man leading t
16624,307,108394,liberty  grief  composer  car-accident  first-part-of-trilogy  trauma  surrealism  betrayal  being-followed  knocking-on-a-door  breaking-a-window  pole-the-person  television  cat-and-mouse  alzheimer's-disease  rat  telling-a-joke  recycling  mourning,Julie  wife of the famous composer Patrice de Courcy  must cope with the sudden death of her husband and daughter in an automobile accident she herself survives While recovering in the hospital  Julie attempts suicide by overdose  but cannot swallow the p
16812,648,117060,mission  spy  stealing  disguise  traitor  theft  remake  espionage  prague  train  cia  secret-agent  vomiting  box-office-hit  prague-czech-republic  subtitled-scene  undercover-agent  undercover  restaurant  dutch-angle  frenchman  double-cross  hotel,Ethan Hunt Tom Cruise is an agent and point man of an Impossible Missions Force IMF team  an unofficial branch of the CIA  led by Jim Phelps Jon Voight In Russia  the team is working on mission a disguised Hunt is interrogating a Russian agent who has bee
16879,21,113161,movie-business  loan-shark  debt  mobster  producer  thug  literary-adaptation  gambling  two-word-title  suv  short-man  reference-to-orson-welles  ponytail  one-last-job  movie-set  hostage  hit-with-a-telephone  held-at-gunpoint  gay-slur  female-rocke,Chilli Palmer John Travolta is a loan shark in Miami When his New York based boss dies of a heart attack  Palmer finds himself working for Ray 'Bones' Barboni Dennis Farina an old rival who hates  Palmer Bones is upset with Palmer for not collecting a loa
16963,832,117438,ransom  money  bounty  fbi  millionaire  rich-man  police  tracing-a-telephone-call  voice-scrambler  loading-a-revolver  suitcase-full-of-money  condominium  laptop  white-van  lost-child  cell-phone  panic  vcr  vhs-tape  box-office-hit  one-word-title,This movie begins with airline owner Tom Mullen Mel Gibson hosting a party at his swank New York City apartment The party is being held to unveil his latest commercial which gives background information on how Tom became a self-made multi-millionaire airl
17165,485,107362,video-store  ticket  magic  hero  action-hero  projectionist  killing  bad-guy  villain  magical-object  same-actor-playing-two-characters-simultaneously-on-screen  same-actor-playing-two-characters  actor-playing-dual-role  three-word-title  t-1000  came,The movie opens at night as a police car screeches to a halt in the middle of a deserted street It is not the first unit to arrive - the entire street is clogged with police units  and officers are training their weapons at an elementary school where an a
17290,317,111070,surrealism  1990s  christmas  christmas-eve  sleigh  north-pole  wordplay-in-title  boy  weighing-oneself  part-of-trilogy  first-of-trilogy  first-part  christmas-movie  christmas-season  christmas-day  holiday-season  gaining-weight  contract-clause  be,Scott Calvin is attending a large office party at his toy company  where he is winning an award for his salesmanship ability As he drives home  he leaves a message for his ex-wife  Laura  apologizing for being late when she is dropping off their son Charl
18107,750,57012,general  war-room  bomber  us-president  doomsday  nuclear-attack  bomber-pilot  strategic-air-command  pilot  disaster  us-air-force  nuclear-holocaust  nuclear-war  nuclear-weapons  cold-war-era  american-president  us-military  detonation  wmd  politic,At the Burpelson US Air Force Base somewhere in the continental USA  the eccentric Brigadier General Jack D Ripper Sterling Hayden orders the 34 nuclear-armed B-52's of the 843rd Bomb Wing past their failsafe points where they normally hold awaiting possi
18471,135,116130,submarine  war-game  navy  submarine-crew  submarine-captain  navy-submarine  reference-to-led-zeppelin  submarine-movie  reference-to-ludwig-van-beethoven  box-office-flop  u-boat  whale-calls  torpedo  sea  redemption  prank  pirate  pirate-costume  per,Lieutenant Commander Thomas Dodge Kelsey Grammer  a capable if somewhat unorthodox US Navy officer  is about to be denied command of his own submarine for a third time because of his unconventional ways not to mention a widely known tattoo on his penis re
18751,471,110074,art-deco  industry  stock  board-of-directors  mail  reporter  business  suicide  vomiting  dentures  frozen-time  stopped-time  talking-to-the-camera  reference-to-dwight-d-eisenhower  three-word-title  magical-realism  box-office-flop  reference-to-will,It's December 1st  1958 and everything at Hudsucker Industries is going great Profits and the stock price have never been so high  so it is shocking when President Waring Hudsucker Charles Durning runs down the table at the Board of Directors meeting and
19033,379,111438,time-travel  senator  future  corrupt-politician  cop  time-travel-agency  c4-explosives  cult-film  wisecrack-humor  government-agent  female-agent  machismo  based-on-comic  female-full-frontal-nudity  blood-splatter  female-frontal-nudity  breasts  sex,In 1863  Confederate soldiers are carrying a gold bullion as a payday for the army Suddenly  they are cornered and shot by a highwayman using anachronistic automatic pistols and futuristic tech equipment  leaving them stranded and dead The mysterious high
19076,479,107286,murder  boxing-match  lost  machismo  1990s  escape  watching-tv  hiding-in-a-closet  stalker  supermarket  improvised-weapon  baseball-bat  rooftop  shot-in-the-arm  shot-in-the-face  stalking  neo-noir  pool-of-blood  crime-lord  fistfight  brawl  showd,Frank Wyatt Emilio Estevez leaves his wife and baby daughter at home for a night out with his friends to see a professional boxing match in modern Chicago Frank is joined by Mike Peterson Cuba Gooding Jr and Ray Cochran Jeremy Piven who shows up in a lavi
19255,368,110478,poker  gambler  tournament  debt  con  indian  bandit  commodore  russian  thief  riverboat  gambling  card  in-medias-res  cliff  umbrella  explosion  bell  buxom  explosive  hands-up  face-slap  con-man  barbershop  laundry  chinese  killer  oil-lamp  d,The story  set in the American Old West  is a first-person account by a wisecracking gambler 'Bret Maverick' Mel Gibson  of his misadventures on the way to a major five-card draw poker tournament Besides wanting to win the poker championship for the money
19286,1211,93191,library  angel  circus  love  germany  trapeze-artist  desire  cult-film  west-germany  film-blanc  boeing-737  standing-on-a-ledge  aerial-shot  three-word-title  kicked-in-the-butt  place-name-in-title  existentialism  dream  voice-over-narration  surre,Note This film was shot in blackwhite and color The Angels cannot see color Therefore  when the shot is from the angels' point of view  the shot is black and white  and when the shot is from a human point of view  it is in color There is much poetic langu
19705,955,29947,leopard  bone  museum  love  lawyer  connecticut  circus  misunderstanding  psychiatrist  mistaken-identity  dowager  1930s  police-arrest  car-theft  parade  feather  record-player  misadventure  engagement  torn-dress  panties  behind-the-eight-ball  fi,Bringing Up Baby is a screwball comedy about a paleontologist  David Huxley Cary Grant  involved with a scatterbrained woman  Susan Vance Katharine Hepburn  and a tame leopard named Baby Nissa the Leopard Baby  in Susan's temporary care  is a gift from Su
21443,231,109686,briefcase-full-of-money  friendship  character-says-i-love-you  reference-to-cinderella  character-repeating-someone-else's-dialogue  scene-during-opening-credits  slapstick-comedy  unlikely-hero  blockbuster  independent-film  airport  aspen-colorado  cr,Lloyd Christmas is a simple-minded limousine driver in Providence  Rhode Island  who becomes infatuated with his passenger  Mary Swanson  as he drives her to the airport Mary is heading home to her family in Aspen  Colorado  but leaves a briefcase at the
21585,2,113497,board-game  jungle  magic  friends-who-live-together  overalls  box-office-hit  breaking-the-fourth-wall  trapped-in-a-game  altering-history  dybbuk-box  based-on-children's-book  tween-girl  held-at-gunpoint  actor-playing-multiple-roles  animal-killing,The film begins in 1869 in the town of Brantford  New Hampshire Two boys are seen breathlessly running with a box  which they proceed to bury in the woodsThe film then cuts to a century later in Brantford A young boy named Alan Parrish is chased by a gang
22048,281,110684,mother  knee  bloody-nose  punched-in-the-nose  death-of-cast-member  dilapidated-house  property-tax  domestic-violence  whiskey  watchdog  victorian-house  trifecta  toilet  tea  taillight  stroke  steps  stepfather  snow-blower  separated  school-teach,Donald Sully Sullivan Paul Newman is a worn yet spry 60-year-old hustler and con-man living in the peaceful  snowy northern New York state village of North Bath He works free-lance in the construction business  usually with his dim-witted friend Rub Squee
22194,1240,88247,cyborg  future-war  robot  shootout-in-a-police-station  urban-setting  car-chase  laser-gun  shotgun  hero  stalker  dream  skull  sawed-off-shotgun  loss-of-loved-one  impersonating-a-police-officer  time-travel-romance  violence  mercilessness  male-fr,Over an apocalyptic battlefield in the year 2029  the ruins of the city of Los Angeles are dominated by robotic war machines  some like tanks  others are hovercrafts  a title card tells us that in the future  humans will wage a long war against an enemy k
22576,1035,59742,orchestral-music-score  children  love  austria  governess  nun  convent  widower  postulant  mother-superior  party  1930s  nazi  baroness  anschluss  abbey  pushing-a-vehicle  nazis  world-war-two  box-office-hit  cult-film  large-family  year-1938  rom,The widowed  retired Austrian naval officer  Captain Von Trapp Christopher Plummer has made his Austrian home one of overly restrictive and harshly enforced discipline  one that  most unintentionally  causes his seven children to be underfed when it comes
22644,79,116731,mafia  breasts  sex-scene  woods  temple  female-frontal-nudity  guatemala  wearing-a-sound-wire  throat-slashed  car-bomb  intimidation  car-falling-off-a-cliff  drug-overdose  mob-boss  stalking  following  fear  shot-multiple-times  reckless-driving  b,Annie Laird Demi Moore is a sculptor who lives in New York with her son Oliver Joseph Gordon-Levitt Annie works as a data entry clerk Oliver has a crush on Annie's friend Juliet Anne Heche  who has a son named Jesse Brett BarskyAnnie is selected to be a j
23816,172,113481,implanted-memory  erased-memory  virtual-reality  cyberspace  yakuza  cartoon-on-tv  part-animation  reference-to-blade-runner  violence  mixed-martial-arts  martial-arts  fistfight  swat-team  rocket-launcher  resistance  megacorporation  lasersight  han,In the 21st century  information is the ultimate commodity The most valuable of information is transported in mnemonic implants in the heads of professional mnemonic couriers like Johnny Keanu Reeves - Speed who offer both security and confidentiality for
24183,1217,89881,warlord  power  greed  blood  japanese  revenge  castle  horseback-riding  deity  musket  gun  epic  woods  witness  wind  wild-boar  widow  wanderer  vulture  village  view  undressing  umbrella  treason  treachery  traitor  tower-on-fire  throne  temple,Akira Kurosawa's treatment of King Lear  with three sons dealingwith the passing of an era as their warlord father Lord HidetoraIchimonji Tatsuya Nakadai  tries to find peace in his last years by dividing his fief among them While one honest son  Saburo N
24251,1267,56218,nightmare  korea  army  korean-war  medal-of-honor  us-senator  soldier  conspiracy  domineering-mother  senator  political-conspiracy  communist-conspiracy  hero  dream  assassin  fight  short-shorts  hot-pants  veteran  cold-war-era  blood-splatter  cor,During the Korean War  the Soviets capture an American platoon and take them to Manchuria in Communist China After the war  the soldiers return to the United States  and Staff Sergeant Raymond Shaw Laurence Harvey is credited with saving their lives in co
24364,216,112508,teacher  family-business  education  school-teacher  high-school  grade-school  telling-someone-to-shut-up  bare-chested-male  sipping-soup  reference-to-led-zeppelin  female-removes-her-clothes  love-interest  title-directed-by-female  kitchen  drunkenne,The movie begins with Billy Madison Adam Sandlerbeing an idiot in the pool He then runs to the front door toget his magazines Billy then goes inside and finds outthat his father  Brian Madison Darren McGavin is having ameeting about retirement Brian is tr
24654,1079,95159,homophobic-slur  heist  stuttering  lawyer  hiding  italian  barrister  lifting-someone-into-the-air  real-life-father-and-daughter-playing-father-and-daughter  1980s  torture  male-nudity  tied-to-a-chair  fish-in-title  cutical-scissors  f-word  referen,George Thomason Tom Georgeson and his right-hand man  Ken Pile Michael Palin  a beleaguered animal lover with a bad stutter  plan a jewel heist and bring in two Americans to help an alluring con artist  Wanda Gershwitz Jamie Lee Curtis and a weapons man
24765,61,116260,support-group  self-defense  rape  justice  vigilante  gun  murder  pistol  suspect  training  evidence  detective  violence  museum  rape-and-murder  murderer  california  cell-phone  birthday  police  threat  panties  locker  bra  working-out  held-at-g,Karen McCannSally Field Is A Woman With Everything To Live For She Is Happily Married To MackEd Harris And Has 2 Daughters 17-year old JulieOlivia Burnette  And Six-year old MeganAlexandra Kyle She Lives In A Nice House In Santa Monica California And Has
